"category_folder","category_name","category_id","sequence","product_no","title_ko","source_detail_url","local_file","bytes","status"
"01-food-beverage","Food & Beverage","78","31","123","CJ 제일제당","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=123&cate_no=78&display_group=1","031__123__CJ 제일제당.jpg","606826","downloaded"
"01-food-beverage","Food & Beverage","78","32","122","CJ 제일제당","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=122&cate_no=78&display_group=1","032__122__CJ 제일제당.jpg","619542","downloaded"
"01-food-beverage","Food & Beverage","78","33","27","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=27&cate_no=78&display_group=1","033__27__배스킨라빈스.jpg","1540766","downloaded"
"01-food-beverage","Food & Beverage","78","34","26","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=26&cate_no=78&display_group=1","034__26__배스킨라빈스.jpg","203765","downloaded"
"01-food-beverage","Food & Beverage","78","35","25","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=25&cate_no=78&display_group=1","035__25__배스킨라빈스.jpg","220956","downloaded"
"01-food-beverage","Food & Beverage","78","36","24","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=24&cate_no=78&display_group=1","036__24__배스킨라빈스.jpg","218286","downloaded"
"01-food-beverage","Food & Beverage","78","37","23","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=23&cate_no=78&display_group=1","037__23__배스킨라빈스.jpg","234956","downloaded"
"01-food-beverage","Food & Beverage","78","38","22","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=22&cate_no=78&display_group=1","038__22__배스킨라빈스.jpg","354156","downloaded"
"01-food-beverage","Food & Beverage","78","39","21","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=21&cate_no=78&display_group=1","039__21__배스킨라빈스.jpg","384735","downloaded"
"01-food-beverage","Food & Beverage","78","40","20","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=20&cate_no=78&display_group=1","040__20__배스킨라빈스.jpg","334925","downloaded"
"01-food-beverage","Food & Beverage","78","41","19","배스킨라빈스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=19&cate_no=78&display_group=1","041__19__배스킨라빈스.jpg","336828","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","1","1394","PARATA AIR","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1394&cate_no=79&display_group=1","001__1394__PARATA AIR.jpg","213488","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","2","1375","신세계백화점","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1375&cate_no=79&display_group=1","002__1375__신세계백화점.jpg","71437","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","3","1334","다이소","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1334&cate_no=79&display_group=1","003__1334__다이소.jpg","194084","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","4","1333","다이소","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1333&cate_no=79&display_group=1","004__1333__다이소.jpg","215749","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","5","1332","다이소","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1332&cate_no=79&display_group=1","005__1332__다이소.jpg","187006","downloaded"
