"category_folder","category_name","category_id","sequence","product_no","title_ko","detail_url","original_image_url","local_file","bytes","status","error_message"
"03-public-research","Public Institutions & Research","80","19","1329","국립아시아문화전당재단","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1329&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/EAB5ADEBA6BDEC9584EC8B9CEC9584EBACB8ED9994ECA084EB8BB9ED8CA8ED82A4ECA780.jpg","019__1329__국립아시아문화전당재단.jpg","142777","downloaded",""
"03-public-research","Public Institutions & Research","80","20","1328","경주 천년한우","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1328&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/EAB2BDECA3BCECB29CEB8584ED959CEC9AB0ED8CA8ED82A4ECA780.jpg","020__1328__경주 천년한우.jpg","207490","downloaded",""
"03-public-research","Public Institutions & Research","80","21","1322","방위사업청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1322&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260526/EAB5B0ECA095ECB0B0EC9C84EC84B1.jpg","021__1322__방위사업청.jpg","112858","downloaded",""
"03-public-research","Public Institutions & Research","80","22","1308","강원 산불방지센터","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1308&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/EC82B0EBB688ECA784ED9994EB8C80ED8CA8ED82A4ECA780.jpg","022__1308__강원 산불방지센터.jpg","479369","downloaded",""
"03-public-research","Public Institutions & Research","80","23","1306","경기도박물관","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1306&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/EAB2BDEAB8B0EB8F84EBB095EBACBCEAB480ED8CA8ED82A4ECA780.jpg","023__1306__경기도박물관.jpg","349480","downloaded",""
"03-public-research","Public Institutions & Research","80","24","1287","연세세브란스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1287&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250911/ECA09CECA491EC9B90EC9BB9.jpg","024__1287__연세세브란스.jpg","820809","downloaded",""
"03-public-research","Public Institutions & Research","80","25","1285","한국원자력환경복원연구원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1285&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250911/ED959CEAB5ADEC9B90EC9E90EBA0A5ED8CA8ED82A4ECA780.jpg","025__1285__한국원자력환경복원연구원.jpg","139689","downloaded",""
"03-public-research","Public Institutions & Research","80","26","1258","해양경찰","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1258&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260527/ED95B4EC9691EAB2BDECB0B0EC9BB9.jpg","026__1258__해양경찰.jpg","917446","downloaded",""
"03-public-research","Public Institutions & Research","80","27","252","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=252&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/police20building.jpg","027__252__경찰청.jpg","143672","downloaded",""
"03-public-research","Public Institutions & Research","80","28","251","경찰청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=251&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/police20ionic.jpg","028__251__경찰청.jpg","148364","downloaded",""
"03-public-research","Public Institutions & Research","80","29","218","국립서울현충원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=218&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/hyunchoongwon.jpg","029__218__국립서울현충원.jpg","119854","downloaded",""
"03-public-research","Public Institutions & Research","80","30","212","대한적십자사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=212&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18492E185A5E186ABE18492E185A7E186AFE1848BE185B4E1848CE185B5E186B8.jpg","030__212__대한적십자사.jpg","116326","downloaded",""
"03-public-research","Public Institutions & Research","80","31","211","대한적십자사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=211&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/jucksipja20bus.jpg","031__211__대한적십자사.jpg","169656","downloaded",""
"03-public-research","Public Institutions & Research","80","32","207","산림청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=207&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/sanrimchung20sanbul20jinhwadae.jpg","032__207__산림청.jpg","187321","downloaded",""
"03-public-research","Public Institutions & Research","80","33","206","산림청","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=206&cate_no=80&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/sanrimchg.jpg","033__206__산림청.jpg","201317","downloaded",""
