"category_folder","category_name","category_id","sequence","product_no","title_ko","detail_url","original_image_url","local_file","bytes","status","error_message"
"05-other","Other","82","20","1344","현대건설","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1344&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/ED9884EB8C80EAB1B4EC84A4-ED9484EBA1A0ED8BB0EC96B4ED98B8.jpg","020__1344__현대건설.jpg","270258","downloaded",""
"05-other","Other","82","21","1343","현대건설","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1343&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/ED9884EB8C80EAB1B4EC84A4-EC98A4EC9DBCEAB080EC8AA4ED948CEB9E9CED8AB8.jpg","021__1343__현대건설.jpg","253837","downloaded",""
"05-other","Other","82","22","1342","현대건설","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1342&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/ED9884EB8C80EAB1B4EC84A4-EAB1B4EC84A4ED9884EC9EA5.jpg","022__1342__현대건설.jpg","275592","downloaded",""
"05-other","Other","82","23","1337","제이오텍","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1337&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/ECA09CEC9DB4EC98A4ED858DED8CA8ED82A4ECA780.jpg","023__1337__제이오텍.jpg","84740","downloaded",""
"05-other","Other","82","24","1330","아마존웹서비스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1330&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/EB84A4EC98A4EB8BA4EC9E84ED8CA8ED82A4ECA780.jpg","024__1330__아마존웹서비스.jpg","73939","downloaded",""
"05-other","Other","82","25","1327","SK하이닉스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1327&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/SKEBB098EB8F84ECB2B4EB9DBCEC9DB820ED8CA8ED82A4ECA780.jpg","025__1327__SK하이닉스.jpg","577911","downloaded",""
"05-other","Other","82","26","1326","NHN","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1326&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/NHNED8CA8ED82A4ECA780.jpg","026__1326__NHN.jpg","166371","downloaded",""
"05-other","Other","82","27","1325","LIG넥스원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1325&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/LIGEB84A5EC8AA4EC9B90-ED8AB8EB9FAD.jpg","027__1325__LIG넥스원.jpg","166337","downloaded",""
"05-other","Other","82","28","1324","LIG넥스원","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1324&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/LIGEB84A5EC8AA4EC9B90-EBB0B0.jpg","028__1324__LIG넥스원.jpg","179379","downloaded",""
"05-other","Other","82","29","1323","LG디스플레이","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1323&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260108/LGEB9494EC8AA4ED948CEBA088EC9DB4ED8CA8ED82A4ECA780.jpg","029__1323__LG디스플레이.jpg","116586","downloaded",""
"05-other","Other","82","30","1321","LS엠트론","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1321&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260107/LSEC97A0ED8AB8EBA1A020MT228EC9AA9EB9F8929.jpg","030__1321__LS엠트론.jpg","880515","downloaded",""
"05-other","Other","82","31","1320","LS엠트론","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1320&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20260107/LSEC97A0ED8AB8EBA1A020MT928EC9AA9EB9F8929.jpg","031__1320__LS엠트론.jpg","754135","downloaded",""
"05-other","Other","82","32","1312","HD현대","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1312&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/HDED9884EB8C8020EBACBCEBA598EC84BCED84B0.jpg","032__1312__HD현대.jpg","1008513","downloaded",""
"05-other","Other","82","33","1311","HD현대","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1311&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/HDED9884EB8C8020HX22020EAB5B4EC82ADEAB8B0.jpg","033__1311__HD현대.jpg","1065161","downloaded",""
"05-other","Other","82","34","1310","한컴","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1310&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/ED959CEAB880ECBBB4ED93A8ED84B0ED8CA8ED82A4ECA780.jpg","034__1310__한컴.jpg","450267","downloaded",""
"05-other","Other","82","35","1309","아이파킹","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1309&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/EC9584EC9DB4ED8C8CED82B9ED8CA8ED82A4ECA780.jpg","035__1309__아이파킹.jpg","669363","downloaded",""
"05-other","Other","82","36","1305","SK하이닉스","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1305&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/SKED9598EC9DB4EB8B89EC8AA44ED8384-ED8CA8ED82A4ECA780.jpg","036__1305__SK하이닉스.jpg","646459","downloaded",""
"05-other","Other","82","37","1304","SK이노베이션","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1304&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/SKEC8A88ED8DBCEC8AA4ED858CEC9DB4EC8598-ED8CA8ED82A4ECA780.jpg","037__1304__SK이노베이션.jpg","848451","downloaded",""
"05-other","Other","82","38","1303","SK이노베이션","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1303&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/SKEC8898EC868CED948CEB9E9CED8AB8.jpg","038__1303__SK이노베이션.jpg","880303","downloaded",""
"05-other","Other","82","39","1302","SK이노베이션","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1302&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/SKEAB491EAB5ACEC9CA0ECA1B0EC84A0-ED8CA8ED82A4ECA780.jpg","039__1302__SK이노베이션.jpg","975912","downloaded",""
"05-other","Other","82","40","1301","앰배서더 호텔 그룹","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1301&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20251020/EC9DB4EBB984EC8AA4ED98B8ED859420EC8381EC84B8.jpg","040__1301__앰배서더 호텔 그룹.jpg","289966","downloaded",""
"05-other","Other","82","41","1289","기아자동차","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1289&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250911/EAB8B0EC9584EAB5ACEAB889ECB0A8EC9BB9.jpg","041__1289__기아자동차.jpg","450396","downloaded",""
"05-other","Other","82","42","1288","기아자동차","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1288&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250911/EAB8B0EC9584ECA780ED9C98ECB0A8EC9BB9.jpg","042__1288__기아자동차.jpg","469874","downloaded",""
